product_id,name,category,price,rating
1,Seven Pro,Electronics,372.07,2.0
2,Sometimes Max,Sports,55.74,4.0
3,Subject Pro,Beauty,213.85,1.1
4,Church Max,Clothing,255.15,1.1
5,True Max,Sports,326.69,3.2
6,Region Max,Home,296.69,4.2
7,We Pro,Toys,403.88,3.8
8,Forward Lite,Books,81.96,4.8
9,Perhaps Lite,Electronics,50.91,1.4
10,Son Lite,Beauty,135.94,1.2
11,Former Plus,Beauty,66.79,4.7
12,Care Pro,Beauty,150.12,3.5
13,Movie Lite,Beauty,100.18,1.3
14,Debate Max,Toys,148.25,1.3
15,Drive Max,Toys,55.0,2.1
16,Heart Lite,Clothing,188.24,1.8
17,Road Lite,Sports,468.64,3.6
18,Car Max,Beauty,365.92,1.7
19,Say Plus,Books,494.81,3.6
20,Allow Max,Sports,165.52,4.1
21,Agreement Pro,Clothing,411.79,4.2
22,Animal Plus,Books,37.76,4.7
23,There Lite,Clothing,329.44,2.6
24,Miss Plus,Clothing,136.12,2.0
25,Stage Lite,Sports,294.37,4.6
26,Administration Plus,Books,113.56,5.0
27,Light Plus,Electronics,379.11,4.4
28,Hope Max,Sports,84.19,3.7
29,And Pro,Home,193.9,5.0
30,Kitchen Lite,Beauty,431.09,1.0
31,Message Pro,Sports,442.97,4.0
32,Piece Lite,Electronics,150.28,1.6
33,Message Pro,Sports,438.55,2.1
34,Measure Max,Beauty,456.75,4.5
35,It Lite,Toys,321.28,3.4
36,Present Max,Books,382.44,3.2
37,Forget Pro,Beauty,165.46,1.1
38,Less Lite,Toys,404.35,2.0
39,Drop Max,Beauty,473.74,1.3
40,Seat Plus,Toys,39.26,4.0
41,Coach Max,Clothing,331.58,4.8
42,Must Max,Books,266.2,3.4
43,Send Max,Beauty,378.86,3.8
44,Candidate Lite,Home,497.6,3.6
45,Way Plus,Beauty,228.49,2.0
46,Although Pro,Books,15.41,3.2
47,Treatment Max,Electronics,40.14,3.5
48,Student Max,Electronics,453.18,4.4
49,Democrat Pro,Beauty,122.81,3.7
50,Crime Max,Beauty,70.49,4.7
51,Draw Plus,Clothing,393.39,4.2
52,Few Max,Electronics,52.98,2.7
53,Administration Plus,Home,236.18,3.9
54,Future Pro,Electronics,204.3,2.4
55,Move Pro,Clothing,99.84,3.1
56,Far Max,Home,95.83,2.9
57,By Pro,Home,404.97,4.4
58,Reality Pro,Electronics,327.81,3.2
59,Business Pro,Electronics,463.55,4.4
60,Small Max,Home,245.39,1.9
61,Watch Plus,Electronics,86.5,1.0
62,Time Plus,Books,463.63,4.1
63,Fight Lite,Home,349.81,3.9
64,System Plus,Clothing,99.0,1.9
65,Near Pro,Beauty,369.19,1.2
66,Now Lite,Electronics,29.82,2.9
67,Manager Max,Electronics,480.59,1.3
68,Learn Max,Electronics,299.54,3.7
69,Gun Max,Home,64.34,4.6
70,Color Max,Beauty,299.29,3.5
71,Instead Plus,Sports,293.92,3.1
72,Ground Lite,Clothing,336.51,2.3
73,Evidence Lite,Home,69.78,3.6
74,Chair Plus,Books,464.86,4.7
75,Memory Pro,Home,312.47,3.3
76,Story Pro,Electronics,271.13,3.0
77,See Max,Books,441.03,4.5
78,Travel Lite,Books,83.08,4.3
79,Dream Lite,Beauty,492.01,4.2
